id,year,title,domain,primary_field,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,primary_topic,community_label,is_closure_node,domain_analysis_end_year
transformer_foundation_models::https://openalex.org/W3201090304,2021,Towards Zero-Label Language Learning,transformer_foundation_models,Topic Modeling,300741,0,,W3201090304,10.48550/arxiv.2109.09193,46,Topic Modeling,Topic Modeling,0,2024
transformer_foundation_models::https://openalex.org/W4387866792,2023,A Deep Dive into Single-Cell RNA Sequencing Foundation Models,transformer_foundation_models,Single-cell and spatial transcriptomics,300678,0,,W4387866792,10.1101/2023.10.19.563100,46,Single-cell and spatial transcriptomics,Single-cell and spatial transcriptomics,0,2024
transformer_foundation_models::https://openalex.org/W4387343740,2023,Artificial intelligence enabled participatory planning: a review,transformer_foundation_models,Land Use and Ecosystem Services,300393,0,,W4387343740,10.1080/12265934.2023.2262427,45,Land Use and Ecosystem Services,Land Use and Ecosystem Services,0,2024
transformer_foundation_models::https://openalex.org/W3033737024,2020,BERT Loses Patience: Fast and Robust Inference with Early Exit,transformer_foundation_models,Topic Modeling,300741,0,,W3033737024,10.48550/arxiv.2006.04152,45,Topic Modeling,Topic Modeling,0,2024
transformer_foundation_models::https://openalex.org/W3106570356,2020,Very Deep VAEs Generalize Autoregressive Models and Can Outperform Them on Images,transformer_foundation_models,Generative Adversarial Networks and Image Synthesis,300298,0,,W3106570356,10.48550/arxiv.2011.10650,45,Generative Adversarial Networks and Image Synthesis,Generative Adversarial Networks and Image Synthesis,0,2024
transformer_foundation_models::https://openalex.org/W3186612807,2021,Deep neural language modeling enables functional protein generation across families,transformer_foundation_models,Protein Structure and Dynamics,300597,0,,W3186612807,10.1101/2021.07.18.452833,45,Protein Structure and Dynamics,Protein Structure and Dynamics,0,2024
transformer_foundation_models::https://openalex.org/W4323545986,2023,"Does ChatGPT Provide Appropriate and Equitable Medical Advice?: A Vignette-Based, Clinical Evaluation Across Care Contexts",transformer_foundation_models,Artificial Intelligence in Healthcare and Education,300071,0,,W4323545986,10.1101/2023.02.25.23286451,45,Artificial Intelligence in Healthcare and Education,Artificial Intelligence in Healthcare and Education,0,2024
transformer_foundation_models::https://openalex.org/W3119822474,2021,SCoRe: Pre-Training for Context Representation in Conversational Semantic Parsing,transformer_foundation_models,Topic Modeling,300741,0,,W3119822474,,44,Topic Modeling,Topic Modeling,0,2024
transformer_foundation_models::https://openalex.org/W4402375173,2024,Artificial Intelligence-Based Underwater Acoustic Target Recognition: A Survey,transformer_foundation_models,Underwater Acoustics Research,300754,0,,W4402375173,10.3390/rs16173333,44,Underwater Acoustics Research,Underwater Acoustics Research,0,2024
transformer_foundation_models::https://openalex.org/W4403010755,2024,"ChatGeoAI: Enabling Geospatial Analysis for Public through Natural Language, with Large Language Models",transformer_foundation_models,Geographic Information Systems Studies,300312,0,,W4403010755,10.3390/ijgi13100348,44,Geographic Information Systems Studies,Geographic Information Systems Studies,0,2024
transformer_foundation_models::https://openalex.org/W3040558716,2020,Knowledge-Aware Language Model Pretraining,transformer_foundation_models,Topic Modeling,300741,0,,W3040558716,10.48550/arxiv.2007.00655,44,Topic Modeling,Topic Modeling,0,2024
transformer_foundation_models::https://openalex.org/W3083835029,2020,Generative Language Modeling for Automated Theorem Proving,transformer_foundation_models,Natural Language Processing Techniques,300491,0,,W3083835029,10.48550/arxiv.2009.03393,44,Natural Language Processing Techniques,Natural Language Processing Techniques,0,2024
transformer_foundation_models::https://openalex.org/W3198674676,2021,Reinforcement Learning-powered Semantic Communication via Semantic Similarity,transformer_foundation_models,Wireless Signal Modulation Classification,300787,0,,W3198674676,10.48550/arxiv.2108.12121,44,Wireless Signal Modulation Classification,Wireless Signal Modulation Classification,0,2024
transformer_foundation_models::https://openalex.org/W3137492414,2022,Inductive Relation Prediction by BERT,transformer_foundation_models,Advanced Graph Neural Networks,300022,0,,W3137492414,10.1609/aaai.v36i5.20537,43,Advanced Graph Neural Networks,Advanced Graph Neural Networks,0,2024
