horizon,model_id,model_label,prediction_decile,n,top_count,observed_top_share,baseline_top_share,enrichment_over_baseline,ci_low,ci_high,bootstrap_iterations,bootstrap_unit
5,expanded,Expanded 153,9.0,31725,6638,0.20923561859732073,0.1000056735442631,2.0922374819535796,0.1983272036474164,0.22709822708386976,2000,publication_year
5,expanded,Expanded 153,10.0,31728,13459,0.4241994452849218,0.1000056735442631,4.241753795070124,0.4006898469726916,0.4559586238288605,2000,publication_year
5,broad_t0,Broad T0 219,1.0,31730,322,0.010148124803025528,0.1000056735442631,0.10147549077337005,0.005336225968521807,0.014372486749892523,2000,publication_year
5,broad_t0,Broad T0 219,2.0,31725,363,0.011442080378250591,0.1000056735442631,0.11441431243584654,0.007242009933789905,0.014185123164558661,2000,publication_year
5,broad_t0,Broad T0 219,3.0,31726,491,0.015476265523545358,0.1000056735442631,0.1547538752058449,0.011220770527335376,0.018242050413641592,2000,publication_year
5,broad_t0,Broad T0 219,4.0,31725,778,0.024523246650906227,0.1000056735442631,0.24521855392586395,0.019440144207101804,0.02784757839522897,2000,publication_year
5,broad_t0,Broad T0 219,5.0,31728,1182,0.037254160363086236,0.1000056735442631,0.37252046851719195,0.03137961017620422,0.04165244829167835,2000,publication_year
5,broad_t0,Broad T0 219,6.0,31724,1802,0.056802420880090784,0.1000056735442631,0.5679919835243118,0.0502575428500383,0.062325789408286134,2000,publication_year
5,broad_t0,Broad T0 219,7.0,31725,2601,0.08198581560283688,0.1000056735442631,0.8198116436518922,0.07395081731176381,0.08814500791977857,2000,publication_year
5,broad_t0,Broad T0 219,8.0,31726,3986,0.1256382777532623,0.1000056735442631,1.25631150014358,0.11874707125398236,0.13327353384544813,2000,publication_year
5,broad_t0,Broad T0 219,9.0,31725,6636,0.2091725768321513,0.1000056735442631,2.0916071000668808,0.19948153080334435,0.22381821248390915,2000,publication_year
5,broad_t0,Broad T0 219,10.0,31728,13567,0.42760337871911247,0.1000056735442631,4.275791198284892,0.40570628043731866,0.45964723797631724,2000,publication_year
8,strict,Strict 7,1.0,22031,162,0.007353274930779356,0.1000077169950929,0.07352707522700634,0.00372182941475112,0.009953124352573294,2000,publication_year
8,strict,Strict 7,2.0,22029,202,0.009169730809387626,0.1000077169950929,0.09169023236314412,0.004917489825711217,0.011901278252789057,2000,publication_year
8,strict,Strict 7,3.0,22029,287,0.013028280902446775,0.1000077169950929,0.13027275588228893,0.008283722414455007,0.016182657255514637,2000,publication_year
8,strict,Strict 7,4.0,22029,536,0.024331562939761225,0.1000077169950929,0.24329685419131314,0.015572512264473612,0.030123427066837825,2000,publication_year
8,strict,Strict 7,5.0,22029,924,0.04194470924690181,0.1000077169950929,0.4194147262551741,0.03462813764305369,0.04752953138211598,2000,publication_year
8,strict,Strict 7,6.0,22029,1279,0.058059830223795905,0.1000077169950929,0.5805535009527789,0.04943443697552008,0.06432405092636015,2000,publication_year
8,strict,Strict 7,7.0,22028,1847,0.08384783003450154,0.1000077169950929,0.8384136000086446,0.07785326313923138,0.0886053583467256,2000,publication_year
8,strict,Strict 7,8.0,22030,3034,0.1377212891511575,0.1000077169950929,1.3771066202612656,0.13199752838118547,0.1443372276992077,2000,publication_year
8,strict,Strict 7,9.0,22028,4830,0.2192663882331578,0.1000077169950929,2.192494687624122,0.20692524383898805,0.23650852496518862,2000,publication_year
8,strict,Strict 7,10.0,22031,8930,0.4053379329127139,0.1000077169950929,4.053066554180042,0.3944662837603811,0.41978899130578506,2000,publication_year
8,primary,Primary 16,1.0,22031,154,0.006990150242839635,0.1000077169950929,0.06989610854912949,0.0033865884006913276,0.009494141242342598,2000,publication_year
8,primary,Primary 16,2.0,22029,187,0.008488810204730128,0.1000077169950929,0.08488155174211857,0.004707614149883772,0.01103700436088401,2000,publication_year
8,primary,Primary 16,3.0,22029,284,0.012892096781515275,0.1000077169950929,0.1289110197580838,0.007933313699763954,0.015963142016475196,2000,publication_year
8,primary,Primary 16,4.0,22029,521,0.023650642335103726,0.1000077169950929,0.23648817357028756,0.016816041424128167,0.028068609112192056,2000,publication_year
8,primary,Primary 16,5.0,22029,902,0.04094602569340415,0.1000077169950929,0.40942866134433664,0.03287351496273799,0.04833429630995415,2000,publication_year
8,primary,Primary 16,6.0,22029,1110,0.050388124744654775,0.1000077169950929,0.503842365955891,0.04005701025645842,0.05710828877664865,2000,publication_year
8,primary,Primary 16,7.0,22028,1756,0.07971672416923915,0.1000077169950929,0.7971057290823931,0.07023078677958695,0.08641478223419963,2000,publication_year
8,primary,Primary 16,8.0,22030,2863,0.12995914661824784,0.1000077169950929,1.2994911845115371,0.12490753887689066,0.1366384474711284,2000,publication_year
8,primary,Primary 16,9.0,22028,4733,0.21486290176139458,0.1000077169950929,2.148463220812623,0.20458865227154793,0.23016522793481822,2000,publication_year
8,primary,Primary 16,10.0,22031,9521,0.4321637692342608,0.1000077169950929,4.321304217508194,0.4177216188260809,0.45327607914722284,2000,publication_year
