comparison_label,candidate_model_id,baseline_model_id,domain12,domain_label,window_start,window_end,n,delta_spearman,display_delta,out_of_scale,status
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1997,1999,1226,-0.01179811139414233,-0.01179811139414233,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1998,2000,1291,-0.014072025792704279,-0.014072025792704279,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1999,2001,1259,-0.008662224231490767,-0.008662224231490767,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",2000,2002,1257,0.00880911387712835,0.00880911387712835,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",2001,2003,1268,0.010401121924675905,0.010401121924675905,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",2002,2004,1314,0.00893527828119467,0.00893527828119467,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",2003,2005,1418,0.014455126306800237,0.014455126306800237,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",2004,2006,1406,0.017458156145312542,0.017458156145312542,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",2005,2007,1475,0.012093559945406174,0.012093559945406174,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",2006,2008,1758,0.016092877948957862,0.016092877948957862,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",2007,2009,2136,0.016043244396199974,0.016043244396199974,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",2008,2010,2440,0.009736131671651327,0.009736131671651327,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",2009,2011,2618,0.005331937105847673,0.005331937105847673,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",2010,2012,2947,0.005275680768727642,0.005275680768727642,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",2011,2013,3376,0.012747179675018483,0.012747179675018483,False,reliable
